rank,noun_phrase,frequency,theme_id1,theme_id2
1,data,5423,,
2,information,2299,,
3,model,2264,,
4,system,2100,,
5,process,2020,,
6,big data,1929,,
7,case,1898,,
8,systems,1850,,
9,analysis,1696,,
10,approach,1678,,
11,technology,1532,,
12,order,1486,,
13,technologies,1446,,
14,open access license,1387,,
15,industry,1341,,
16,models,1281,,
17,method,1230,,
18,companies,1200,,
19,products,1173,,
20,framework,1128,,
21,instance,1106,,
22,value,1041,,
23,production,1023,,
24,work,1004,,
25,hand,1002,,
26,manufacturing,1000,,
27,services,995,,
28,customers,965,,
29,design,919,,
30,machine,911,,
31,problem,907,,
32,knowledge,896,101,
33,responsibility,878,,202
34,future,874,,
35,context,860,,
36,challenges,853,,
37,algorithm,812,,
38,users,807,,
39,result,807,,
40,performance,801,102,
41,countries,792,,
42,management,787,,201
43,project,780,,
44,applications,779,,
45,product,772,,
46,cost,760,103,203
47,people,738,,
48,fact,733,,
49,decision,731,101,
50,factors,723,,
51,business,719,,
52,use,710,,
53,environment,700,,
54,network,695,,
55,number,695,,
56,part,693,,
57,concept,692,,
58,platform,688,,
59,simulation,678,,
60,processes,672,,
61,development,670,,
62,resources,667,,
63,quality,651,,204
64,Ë‡,649,,
65,cases,637,,
66,syst,631,,
67,sensors,629,,
68,application,614,,
69,customer,590,,
70,tools,582,,
71,problems,581,,
72,architecture,572,,201
73,policy,570,,202
74,set,568,,
75,innovation,541,,
76,activities,537,,
77,costs,535,103,203
78,organization,533,,
79,techniques,531,,
80,world,528,,
81,opportunities,526,,
82,software,525,,
83,purpose,518,,
84,ability,516,,
85,organizations,516,,
86,issues,514,,
87,market,511,,
88,solutions,509,,
89,requirements,507,,
90,approaches,505,,
91,values,502,,
92,energy,498,,
93,devices,498,,
94,service,497,,
95,infrastructure,496,,206
96,user,493,,
97,implementation,490,,
98,tool,489,,
99,analytics,488,,
100,logistics,471,,
101,area,471,,
102,solution,468,,
103,supply chain,459,,
104,strategy,458,,210
105,volume,451,,205
106,maintenance,445,106,
107,practice,438,,
108,changes,436,,
109,level,428,,
110,form,428,,
111,scenario,425,,
112,risk,424,,
113,control,421,101,
114,parameters,420,,
115,consumers,418,,
116,s,418,,
117,words,418,,
118,integration,409,,201
119,change,407,,
120,step,406,,
121,operations,405,,
122,materials,405,,
123,end,405,,
124,decisions,400,101,
125,security,398,,209
126,capabilities,396,,208
127,field,396,,
128,smart cities,396,,
129,database,388,,
130,benefits,386,,
131,engineering,385,,
132,demand,384,,
133,structure,379,,201
134,contrast,377,,
135,definition,374,,
136,discussion,370,,
137,projects,370,,
138,efficiency,368,102,
139,place,365,,
140,location,363,,
141,sustainability,361,104,
142,impact,360,,
143,machines,358,,
144,components,356,,
145,networks,356,,
146,concepts,356,,
147,focus,356,,
148,evaluation,354,,
149,internet,353,,
150,tasks,348,,
151,blockchain,346,,
152,acknowledgements,345,,
153,support,345,,
154,point,344,,
155,water,343,,
156,fax,340,,
157,perspective,337,,
158,patients,334,,
159,terms,331,,
160,evidence,328,,
161,communication,325,,
162,big data analytics,325,,
163,factories,323,,
164,scenarios,322,,
165,firm,321,,
166,data analysis,320,,
167,turn,319,,
168,total,319,,
169,circular economy,317,,
170,food,315,,
171,nodes,313,,
172,social media,313,,
173,day,312,,
174,new technologies,310,,
175,period,310,,
176,stakeholders,308,,
177,factory,306,,
178,power,305,,
179,capacity,305,,206
180,strategies,304,,210
181,equipment,304,,
182,reason,302,,
183,trends,302,,
184,goal,302,,
185,material,298,,
186,features,297,,
187,uncertainty,295,,202
188,areas,294,,
189,available homepage,293,,
190,variables,291,,
191,characteristics,291,,
192,complexity,290,,205
193,flexibility,290,107,
194,computers,290,,
195,economy,289,,
196,optimization,288,102,
197,industries,288,,
198,type,287,,
199,Å¡,287,,
200,term,286,,
201,elements,286,,
202,needs,286,,
203,role,285,,
204,accuracy,285,,204
205,help,284,,
206,cities,282,,
207,task,281,,
208,situation,281,,
209,classification,281,,
210,questions,281,,
211,artificial intelligence,280,,
212,managers,280,,
213,transport,280,,
214,date,279,,
215,basis,279,,
216,account,278,,
217,data collection,276,,207
218,function,275,,
219,question,275,,
220,efforts,274,,
221,reliability,273,,204
222,operation,272,,
223,relationships,270,,
224,nature,270,,
225,marketing,270,,
226,enterprises,269,,
227,overview,267,,
228,stage,265,,
229,employees,264,,
230,group,264,,
231,reality,263,,
232,supply,260,,
233,city,260,,
234,effect,259,,
235,dataset,259,,
236,distribution,258,,
237,rules,257,,
238,country,257,,
239,layer,256,,
240,size,255,,
241,conditions,254,,
242,risks,254,,
243,education,254,,
244,experience,252,,
245,output,252,,
246,=(,250,,
247,search,250,,
248,plan,249,,
249,springer,249,,
250,digital technologies,248,,
251,government,248,,
252,objects,247,,
253,experts,247,,
254,access,246,,207
255,safety,245,,209
256,transportation,243,,
257,productivity,242,102,
258,objectives,242,,
259,state,242,,
260,phase,241,,
261,training,241,,208
262,advances,240,,
263,space,240,,
264,privacy,239,,209
265,business models,237,105,
266,limitations,237,,
267,actions,237,,
268,module,237,,
269,factor,235,,
270,competitive advantage,235,109,
271,cluster,234,,
272,sector,234,,
273,test,233,,
274,region,232,,
275,vehicles,231,,
276,monitoring,230,101,
277,outcomes,230,,
278,experiments,229,,
279,indicators,229,,
280,suppliers,228,,
281,effects,228,,
282,constraints,227,,
283,practices,227,,
284,markets,226,,
285,insights,226,101,
286,importance,226,,
287,comparison,225,,
288,measures,223,,
289,community,223,,
290,digital transformation,223,,
291,actors,222,,
292,sales,222,,
293,opportunity,222,,
294,parts,221,,
295,aim,221,,
296,storage,221,,201
297,line,220,,
298,input,220,,
299,students,220,,
300,manufacturers,218,,
301,agriculture,217,,
302,capability,217,,208
303,criteria,215,,
304,manage,214,,
305,topic,213,,
306,vision,213,,
307,perspectives,213,,
308,events,212,,
309,s.,212,,
310,automation,212,,
311,activity,211,,
312,platforms,210,,
313,population,210,,
314,attention,210,,
315,transformation,210,,
316,sense,209,,
317,procedure,209,,
318,data analytics,208,,
319,steps,208,,
320,program,207,,
321,metrics,206,101,
322,idea,206,,
323,team,206,,
324,robots,205,,
325,action,205,,
326,Åº,205,,
327,health,204,,
328,cloud manufacturing,203,,
329,first step,202,,
330,workers,200,,
331,temperature,199,,
332,emissions,199,104,
333,collaboration,199,108,
334,standards,199,,
335,possibility,199,,
336,condition,197,,
337,supply chains,197,,
338,recommendations,197,,
339,potential,196,,
340,blockchain technology,196,,
341,policies,196,,202
342,digitalization,196,,
343,identification,195,,
344,component,194,,
345,technique,194,,
346,course,194,,
347,interoperability,193,,211
348,category,193,,
349,respondents,192,,
350,images,192,,
351,regard,192,,
352,aspects,191,,
353,press,191,,
354,digital twin,191,,
355,functions,189,,
356,relationship,189,,
357,resource,189,,
358,availability,189,,207
359,speed,189,,205
360,drivers,188,,
361,3d printing,188,,
362,times,187,,
363,agents,187,,
364,aims,186,,
365,paradigm,186,,
366,min,186,,
367,trend,186,,
368,regions,186,,
369,behavior,186,,
370,details,185,,
371,info history,184,,
372,prediction,183,106,
373,interest,183,,
374,goals,183,,
375,topics,183,,
376,items,182,,
377,points,182,,
378,skills,182,,208
379,statistics,181,,
380,growth,180,,
381,combination,180,,
382,j2,180,,
383,conceptual framework,179,,
384,cyber-physical systems,177,,
385,consideration,177,,
386,workshop,177,,
387,standard,177,,
388,society,177,,
389,ways,176,,
390,testing,176,,
391,guidelines,176,,202
392,waste,175,,
393,mechanism,174,,
394,variety,173,,
395,individuals,173,,
396,assessment,173,,
397,supply chain management,172,,
398,series,171,,
399,view,171,,
400,innovations,170,,
401,expert,169,,
402,practitioners,169,,
403,unit,168,,
404,competition,168,,
405,proposed approach,168,,
406,value chain,167,,
407,progress,167,,
408,enterprise,167,,
409,impacts,167,,
410,humans,166,,
411,future work,165,,
412,robotics,165,,
413,construction,165,,
414,effort,164,,
415,adoption,164,,
416,conference,163,,
417,patient,163,,
418,firm performance,163,,
419,intelligent manufacturing,162,107,
420,partners,162,,
421,principles,161,,
422,smart manufacturing,161,107,
423,databases,161,,
424,trust,160,,209
425,environments,160,,
426,event,160,,
427,amount,159,,
428,scale,159,,
429,failure,159,106,
430,scheduling,158,101,
431,documents,158,,
432,clusters,157,,
433,historical data,157,,
434,transactions,156,,
435,facilities,156,,
436,information systems,155,,
437,types,155,,
438,vehicle,155,,
439,evolution,155,,
440,collection,154,,207
441,investment,154,,203
442,chain,153,,
443,contribution,153,,
444,selection,153,,
445,response,152,,
446,distance,152,,
447,behalf,152,,
448,definitions,151,,
449,edge,151,,
450,experiment,150,,
451,shows,150,,
452,patterns,150,,
453,important role,150,,
454,designers,149,,
455,gap,149,,
456,datasets,149,,
457,communications,149,,
458,probability,149,,
459,neural networks,149,,
460,measure,149,,
461,lessons,148,,
462,predictive maintenance,147,106,
463,smart factory,147,107,
464,connectivity,147,,
465,building,147,,
466,data mining,147,,
467,interactions,146,,
468,fields,146,,
469,device,145,,
470,protocol,145,,
471,sensor,145,,
472,top,145,,
473,consequence,145,,
474,governance,145,,202
475,intelligence,144,101,
476,healthcare,144,,
477,interests,144,,
478,mechanisms,143,,
479,plant,143,,
480,computer,142,,
481,direction,142,,
482,implications,142,,
483,list,141,,
484,validation,141,,
485,goods,141,,
486,cooperation,141,108,
487,ecosystem,141,,
488,governments,141,,
489,additive manufacturing,141,,
490,text,140,,
491,organisations,140,,
492,economies,139,,
493,sage,139,,
494,business model,138,105,
495,frameworks,138,,
496,concerns,138,,
497,decision makers,138,101,
498,different types,138,,
499,sharing,138,108,
500,outcome,138,,
501,//doi.org/10.1016/j,138,,
502,agent,137,,
503,future directions,137,,
504,objective function,137,,
505,objective,137,,
506,matrix,137,,
507,smart contracts,136,105,
508,effectiveness,136,,
509,sustainable development,136,104,
510,path,136,,
511,energy consumption,135,104,
512,retailers,135,,
513,sectors,135,,
514,fourth industrial revolution,134,,
515,degree,134,,
516,thousands,134,,
517,german,133,,
518,image,133,,
519,modeling,133,,
520,operators,133,,
521,planning,133,,
522,categories,133,,
523,equation,133,,
524,interface,132,,
525,providers,132,,
526,functionality,132,,
527,detection,132,,
528,advantages,132,,
529,money,131,,
530,next step,131,,
531,reasons,131,,
532,max,131,,
533,rest,130,,
534,inventory,130,,
535,assets,130,,
536,dimensions,130,,
537,execution,129,,
538,domain,129,,
539,taxonomy,129,,
540,position,129,,
541,mining,128,,
542,agenda,128,,
543,extent,128,,
544,differences,128,,
545,environmental impacts,128,104,
546,consumer,128,,
547,mobile devices,128,,
548,gaps,127,,
549,working,127,,
550,requirement,127,,
551,difference,127,,
552,new business models,126,105,
553,analyses,126,,
554,unstructured data,126,,205
555,thesis,126,,
556,smart city,126,,
557,raw materials,125,,
558,proposed method,125,,
559,log,125,,
560,initiatives,125,,
561,circulation,125,,
562,see,125,,
563,recycling,124,,
564,class,124,,
565,demands,124,,
566,samples,124,,
567,scalability,123,,212
568,large number,123,,
569,range,123,,
570,success,123,,
571,developments,123,,
572,principle,123,,
573,many cases,123,,
574,transaction,122,,
575,proposed framework,122,,
576,members,122,,
577,procedures,122,,
578,interaction,122,,
579,raw data,121,,
580,presents,121,,
581,experiences,121,,
582,visualization,121,,
583,resilience,121,,
584,traffic,121,,
585,data acquisition,120,,207
586,operator,120,,
587,show,120,,
588,description,119,,
589,electricity,119,,
590,feature,118,,
591,modules,118,,
592,states,118,,
593,themes,118,,
594,institutions,117,,
595,measurement,117,,
596,frequency,117,,205
597,automotive industry,117,,
598,blocks,116,,
599,neural network,116,,
600,usage,116,,
601,detail,116,,
602,scholars,116,,
603,age,116,,
604,travel,116,,
605,creation,115,,
606,version,115,,
607,modelling,115,,
608,rate,115,,
609,groups,115,,
610,price,115,,203
611,provider,115,,
612,person,115,,
613,history,115,,
614,structures,114,,
615,jobs,114,,
616,job,114,,
617,units,114,,
618,data information,114,,
619,competitiveness,114,109,
620,weight,114,,
621,dimension,114,,
622,parameter,114,,
623,smart products,113,105,
624,attributes,113,,
625,smart factories,113,107,
626,levels,113,,
627,increase,113,,
628,investigation,112,,
629,public,112,,
630,culture,112,,210
631,annals,112,,
632,route,112,,
633,something,111,,
634,social networks,111,,
635,site,111,,
636,choice,111,,
637,optimal solution,111,101,
638,new products,111,105,
639,content,111,,
640,manufacturer,110,,
641,consensus,110,,
642,delivery,110,,
643,simulations,110,,
644,transition,110,,
645,processing,110,,
646,share,110,,
647,ideas,109,,
648,mapping,109,,
649,error,109,,
650,light,109,,
651,majority,109,,
652,new opportunities,108,105,
653,@,108,,
654,predictive analytics,108,,
655,phenomenon,108,,
656,inputs,107,,
657,4.0 technologies,107,,
658,block,107,,
659,none,107,,
660,feedback,107,,
661,questionnaire,107,,
662,fÃ¼r,107,,
663,earth,107,,
664,dynamic capabilities,107,107,
665,hypothesis,107,,
666,assembly,106,,
667,improvement,106,,
668,finance,106,,
669,economic growth,106,,
670,reader,106,,
671,advantage,106,,
672,digitization,106,,206
673,treatment,106,,
674,plants,106,,
675,mobile phones,106,,
676,simulation model,105,,
677,contributions,105,,
678,barriers,105,,
679,hardware,105,,206
680,graph,105,,
681,background,105,,
682,orders,105,,
683,math,105,,
684,j1,105,,
685,robot,104,,
686,managing,104,,
687,scheme,104,,
688,determine,104,,
689,observations,104,,
690,//doi.org/10.1016/,104,,
691,means,103,,
692,key,103,,
693,generation,103,,
694,measurements,103,,
695,influence,103,,
696,organisation,103,,
697,transparency,102,108,
698,manager,102,,
699,cycle,102,,
700,worth,102,,
701,conceptual model,102,,
702,assumptions,102,,
703,programming,102,,
704,new technology,102,,
705,citizens,102,,
706,calculation,101,,
707,urban areas,101,,
708,insurance,100,,
709,side,100,,
710,cloud computing,100,,
711,velocity,100,,205
712,architectures,100,,201
713,life,100,,
714,production economics,100,103,
715,buildings,100,,
716,environmental impact,99,104,
717,medium,99,,
718,mode,99,,
719,errors,99,,
720,insight,99,101,
721,communities,99,,
722,respect,99,,
723,children,99,,
724,status,98,,
725,purposes,98,,
726,supplier,98,,
727,pressure,98,,
728,outputs,98,,
729,lecture,98,,
730,products services,98,,
731,home,98,,
732,disciplines,98,,
733,hour,98,,
734,computers electronics,98,,
735,production process,97,,
736,controller,97,,
737,document,97,,
738,sciences,97,,
739,discussions,97,,
740,works,97,,
741,assumption,97,,
742,engineers,96,,
743,economics,96,,
744,xu,96,,
745,small satellites,96,,
746,target,95,,
747,genetic algorithm,95,,
748,individual,95,,
749,use case,95,,
750,consumption,95,,
751,new ways,95,,
752,benefit,94,,
753,real-time data,94,101,
754,diagnosis,94,,
755,properties,94,,
756,initiative,94,,
757,days,94,,
758,revenue,94,103,
759,lines,94,,
760,real world,94,,
761,coordination,94,,
762,mobility,94,,
763,energy efficiency,93,104,
764,blockchains,93,,
765,options,93,,
766,acquisition,93,,207
767,digital twins,93,,
768,remainder,93,,
769,theme,93,,
770,vessels,93,,
771,ship,93,,
772,code,92,,
773,entities,92,,
774,teams,92,,
775,clients,92,,
776,available data,92,,207
777,renewable energy,92,,
778,feasibility,91,,
779,difficulties,91,,
780,station,91,,
781,complex systems,91,,
782,reviews,91,,
783,threshold,91,,
784,sustainable manufacturing,90,104,
785,lifecycle,90,,
786,interfaces,90,,
787,staff,90,,
788,numbers,90,,
789,proposed model,90,,
790,connection,89,,
791,human resources,89,,
792,care,89,,
793,algorithms,89,,
794,different levels,89,,
795,ontology,89,,
796,roles,89,,
797,capita,89,,
798,sum,89,,
799,road,89,,
800,actuators,88,,
801,logic,88,,
802,boundaries,88,,
803,improvements,88,,
804,preferences,88,,
805,locations,88,,
806,climate,88,104,
807,aortic stenosis,88,,
808,physical world,87,,
809,motivation,87,,
810,incentives,87,,
811,mission,87,,
812,protocols,87,,
813,programs,87,,
814,indicator,87,,
815,lot,87,,
816,information technology,87,,206
817,futures,87,,
818,tracking,86,108,
819,many companies,86,,
820,climate change,86,104,
821,possibilities,86,,
822,wide range,86,,
823,brand,86,,
824,robustness,86,,
825,higher education,86,,
826,file,86,,
827,proposal,86,,
828,understanding,86,,
829,reduction,86,,
830,relation,85,,
831,product design,85,,
832,containers,85,,
833,components level,85,,
834,formula,85,,
835,car,85,,
836,production system,84,,
837,acknowledgments,84,,
838,flow,84,,
839,funding,84,,203
840,manufacturing companies,84,,
841,observation,84,,
842,instances,84,,
843,_,84,,
844,fog,84,,
845,arts,83,,
846,contexts,83,,
847,competitors,83,,
848,server,83,,206
849,tests,83,,
850,new approach,83,,
851,investments,83,,203
852,request,83,,
853,challenge,83,,
854,digital servitization,83,105,
855,profit,82,103,
856,opinion,82,,
857,deployment,82,,
858,empirical evidence,82,,
859,coefficient,82,,
860,configuration,81,,
861,smart devices,81,,
862,language,81,,
863,tacit knowledge,81,,208
864,tags,81,,
865,game,81,,
866,ethics,81,,202
867,consequences,81,,
868,organizational networking,81,,
869,imaging,81,,
870,profitability,80,103,
871,regulation,80,,
872,predictions,80,106,
873,node,80,,
874,hospital,80,,
875,data quality,80,,204
876,farm,80,,
877,grant,80,,
878,ships,80,,
879,life cycle,79,,
880,client,79,,
881,department,79,,
882,hospitals,79,,
883,functionalities,79,,
884,statistical analysis,79,,
885,Ë‡Ë‡,79,,
886,media,79,,
887,awareness,79,,
888,flight,79,,
889,uncertainties,78,,202
890,criterion,78,,
891,difficulty,78,,
892,satisfaction,78,,
893,regulations,78,,202
894,existing,77,,
895,interviewees,77,,
896,data management,77,,201
897,spare parts,77,,
898,natural gas,77,,
899,emergence,77,,
900,developed countries,77,,
901,dynamics,77,,
902,two groups,77,,
903,|,77,,
904,expectations,77,,
905,object,77,,
906,digital business models,77,105,
907,routes,77,,
908,lancet,77,,
909,diabetes,77,,
910,manner,76,,
911,contract,76,,
912,paradigms,76,,
913,computation,76,,206
914,necessity,76,,
915,classes,76,,
916,law,76,,
917,banks,76,,
918,partnership,76,108,
919,aircraft,76,,
920,pattern,76,,
921,subject,76,,
922,presence,76,,
923,need,75,,
924,production systems,75,,
925,developers,75,,
926,servitization,75,105,
927,phases,75,,
928,minimum,75,,
929,trucks,75,,
930,length,75,,
931,column,75,,
932,designer,75,,
933,behaviour,75,,
934,license,75,,
935,empirical analysis,75,,
936,start,75,,
937,driver,74,,
938,stages,74,,
939,business processes,74,,
940,option,74,,
941,scientists,74,,
942,parties,74,,
943,adaptation,74,,201
944,use cases,74,,
945,card,74,,
946,everything,74,,
947,weights,74,,
948,limitation,74,,
949,connections,74,,
950,producers,74,,
951,logist,74,,
952,repair,73,,
953,last decade,73,,
954,container,73,,
955,rule,73,,
956,data processing,73,,
957,digital platforms,73,105,
958,packaging,73,,
959,deep learning,73,,
960,variability,73,,205
961,density,73,,
962,precision,73,,204
963,map,73,,
964,discipline,73,,
965,views,73,,
966,estimation,72,,
967,new knowledge,72,101,
968,forecasting,72,,
969,interval,72,,
970,smartphones,72,,
971,new data,72,,
972,data sets,72,,
973,land,72,,
974,women,72,,
975,directions,72,,
976,ratio,72,,
977,current state,71,,
978,contents,71,,
979,engine,71,,
980,thank,71,,
981,domains,71,,
982,customer satisfaction,71,109,
983,extension,71,,
984,aspect,71,,
985,considerations,71,,
986,website,71,,
987,body,71,,
988,horizon,71,,
989,facility,71,,
990,traceability,71,108,
991,relevant information,71,,
992,constraint,71,,
993,following sections,71,,
994,key role,70,,
995,physical objects,70,,
996,two types,70,,
997,representation,70,,
998,davies,70,,
999,two decades,70,,
1000,agreement,70,,
